"","Area","Region","YearPeriod","AVG_Percent"
"984","Central African Republic","Africa","Y20172019","87"
"985","Central African Republic","Africa","Y20182020","87"
"986","Central African Republic","Africa","Y20192021","86"
"987","Central African Republic","Africa","Y20202022","84"
"988","Chad","Africa","Y20002002","92"
"989","Chad","Africa","Y20012003","93"
"990","Chad","Africa","Y20022004","93"
"991","Chad","Africa","Y20032005","94"
"992","Chad","Africa","Y20042006","94"
"993","Chad","Africa","Y20052007","94"
"994","Chad","Africa","Y20062008","94"
"995","Chad","Africa","Y20072009","93"
"996","Chad","Africa","Y20082010","99"
"997","Chad","Africa","Y20092011","104"
"998","Chad","Africa","Y20102012","110"
"999","Chad","Africa","Y20112013","111"
"1000","Chad","Africa","Y20122014","110"
"1001","Chad","Africa","Y20132015","109"
"1002","Chad","Africa","Y20142016","108"
"1003","Chad","Africa","Y20152017","108"
"1004","Chad","Africa","Y20162018","109"
"1005","Chad","Africa","Y20172019","108"
"1006","Chad","Africa","Y20182020","106"
"1007","Chad","Africa","Y20192021","104"
"1008","Chad","Africa","Y20202022","102"
"1009","Comoros","Africa","Y20002002","100"
"1010","Comoros","Africa","Y20012003","103"
"1011","Comoros","Africa","Y20022004","106"
"1012","Comoros","Africa","Y20032005","107"
"1013","Comoros","Africa","Y20042006","107"
"1014","Comoros","Africa","Y20052007","106"
"1015","Comoros","Africa","Y20062008","105"
"1016","Comoros","Africa","Y20072009","104"
"1017","Comoros","Africa","Y20082010","105"
"1018","Comoros","Africa","Y20092011","107"
"1019","Comoros","Africa","Y20102012","108"
"1020","Comoros","Africa","Y20112013","109"
"1021","Comoros","Africa","Y20122014","109"
"1022","Comoros","Africa","Y20132015","110"
"1023","Comoros","Africa","Y20142016","111"
"1024","Comoros","Africa","Y20152017","111"
"1025","Comoros","Africa","Y20162018","112"
"1026","Comoros","Africa","Y20172019","112"
"1027","Comoros","Africa","Y20182020","112"
"1028","Comoros","Africa","Y20192021","111"
"1029","Comoros","Africa","Y20202022","109"
"1030","Congo","Africa","Y20002002","100"
"1031","Congo","Africa","Y20012003","100"
"1032","Congo","Africa","Y20022004","100"
"1033","Congo","Africa","Y20032005","97"
"1034","Congo","Africa","Y20042006","95"
"1035","Congo","Africa","Y20052007","92"
"1036","Congo","Africa","Y20062008","93"
"1037","Congo","Africa","Y20072009","93"
"1038","Congo","Africa","Y20082010","91"
"1039","Congo","Africa","Y20092011","90"
"1040","Congo","Africa","Y20102012","89"
"1041","Congo","Africa","Y20112013","91"
"1042","Congo","Africa","Y20122014","94"
"1043","Congo","Africa","Y20132015","96"
"1044","Congo","Africa","Y20142016","97"
"1045","Congo","Africa","Y20152017","97"
"1046","Congo","Africa","Y20162018","96"
"1047","Congo","Africa","Y20172019","97"
"1048","Congo","Africa","Y20182020","97"
"1049","Congo","Africa","Y20192021","98"
"1050","Congo","Africa","Y20202022","98"
"1051","Côte d'Ivoire","Africa","Y20002002","118"
"1052","Côte d'Ivoire","Africa","Y20012003","119"
"1053","Côte d'Ivoire","Africa","Y20022004","119"
"1054","Côte d'Ivoire","Africa","Y20032005","120"
"1055","Côte d'Ivoire","Africa","Y20042006","121"
"1056","Côte d'Ivoire","Africa","Y20052007","121"
"1057","Côte d'Ivoire","Africa","Y20062008","119"
"1058","Côte d'Ivoire","Africa","Y20072009","118"
"1059","Côte d'Ivoire","Africa","Y20082010","118"
"1060","Côte d'Ivoire","Africa","Y20092011","120"
"1061","Côte d'Ivoire","Africa","Y20102012","122"
"1062","Côte d'Ivoire","Africa","Y20112013","123"
"1063","Côte d'Ivoire","Africa","Y20122014","122"
"1064","Côte d'Ivoire","Africa","Y20132015","123"
"1065","Côte d'Ivoire","Africa","Y20142016","123"
"1066","Côte d'Ivoire","Africa","Y20152017","125"
"1067","Côte d'Ivoire","Africa","Y20162018","126"
"1068","Côte d'Ivoire","Africa","Y20172019","127"
"1069","Côte d'Ivoire","Africa","Y20182020","129"
"1070","Côte d'Ivoire","Africa","Y20192021","130"
"1071","Côte d'Ivoire","Africa","Y20202022","131"
"1072","Democratic Republic of the Congo","Africa","Y20002002","103"
"1073","Democratic Republic of the Congo","Africa","Y20012003","103"
"1074","Democratic Republic of the Congo","Africa","Y20022004","103"
"1075","Democratic Republic of the Congo","Africa","Y20032005","103"
"1076","Democratic Republic of the Congo","Africa","Y20042006","103"
"1077","Democratic Republic of the Congo","Africa","Y20052007","103"
"1078","Democratic Republic of the Congo","Africa","Y20062008","103"
"1079","Democratic Republic of the Congo","Africa","Y20072009","103"
"1080","Democratic Republic of the Congo","Africa","Y20082010","104"
"1081","Democratic Republic of the Congo","Africa","Y20092011","105"
"1082","Democratic Republic of the Congo","Africa","Y20102012","106"
"1083","Democratic Republic of the Congo","Africa","Y20112013","105"
"1084","Democratic Republic of the Congo","Africa","Y20122014","105"
"1085","Democratic Republic of the Congo","Africa","Y20132015","105"
"1086","Democratic Republic of the Congo","Africa","Y20142016","104"
"1087","Democratic Republic of the Congo","Africa","Y20152017","103"
"1088","Democratic Republic of the Congo","Africa","Y20162018","103"
"1089","Democratic Republic of the Congo","Africa","Y20172019","103"
"1090","Democratic Republic of the Congo","Africa","Y20182020","102"
"1091","Democratic Republic of the Congo","Africa","Y20192021","101"
"1092","Democratic Republic of the Congo","Africa","Y20202022","99"
"1093","Djibouti","Africa","Y20002002","88"
"1094","Djibouti","Africa","Y20012003","89"
"1095","Djibouti","Africa","Y20022004","91"
"1096","Djibouti","Africa","Y20032005","94"
"1097","Djibouti","Africa","Y20042006","97"
"1098","Djibouti","Africa","Y20052007","101"
"1099","Djibouti","Africa","Y20062008","103"
"1100","Djibouti","Africa","Y20072009","105"
"1101","Djibouti","Africa","Y20082010","102"
"1102","Djibouti","Africa","Y20092011","100"
"1103","Djibouti","Africa","Y20102012","97"
"1104","Djibouti","Africa","Y20112013","98"
"1105","Djibouti","Africa","Y20122014","100"
"1106","Djibouti","Africa","Y20132015","102"
"1107","Djibouti","Africa","Y20142016","104"
"1108","Djibouti","Africa","Y20152017","105"
"1109","Djibouti","Africa","Y20162018","105"
"1110","Djibouti","Africa","Y20172019","106"
"1111","Djibouti","Africa","Y20182020","106"
"1112","Djibouti","Africa","Y20192021","108"
"1113","Djibouti","Africa","Y20202022","109"
"1114","Egypt","Africa","Y20002002","142"
"1115","Egypt","Africa","Y20012003","141"
"1116","Egypt","Africa","Y20022004","139"
"1117","Egypt","Africa","Y20032005","138"
